farmer_id,crop_site_id,village_id,block_id,district_id,state_id,latitude,longitude,CCE_yield,la_median_damdue,la_median_damnotdue,la_median_damtot,med_damnotdue,med_damdue,med_damtot,ins_cat_loss1,ins_cat_loss2,ins_cat_loss3,ins_cat_loss4,numpics,WBI_payout,PBI_payout,jc_damnotdue_orig,jc_damdue_orig,jc_damtot_orig,damnotdue_orig1,damdue_orig1,damtot_orig1,damnotdue_orig2,damdue_orig2,damtot_orig2,damnotdue_orig3,damdue_orig3,damtot_orig3,damnotdue_orig4,damdue_orig4,damtot_orig4,damnotdue_orig5,damdue_orig5,damtot_orig5,damnotdue_orig6,damdue_orig6,damtot_orig6,damnotdue_orig7,damdue_orig7,damtot_orig7
117915.0,1,1179.0,3.0,Fategharh,Punjab,30.700000000000003,76.4,23.653896,0.0,20.0,20.0,20.0,0.0,20.0,0.0,1.0,0.0,0.0,53,0.0,3900.0,,,,20.0,0.0,20.0,,,,,,,,,,20.0,0.0,20.0,30.0,0.0,30.0,,,
117916.0,1,1179.0,3.0,Fategharh,Punjab,30.700000000000003,76.4,21.853045,0.0,10.0,10.0,10.0,0.0,10.0,1.0,0.0,0.0,0.0,15,0.0,0.0,,,,0.0,0.0,0.0,,,,10.0,5.0,15.0,,,,,,,10.0,0.0,10.0,,,
117920.0,1,1179.0,3.0,Fategharh,Punjab,30.700000000000003,76.4,22.824291,0.0,4.0,5.0,4.0,0.0,5.0,1.0,0.0,0.0,0.0,9,0.0,0.0,,,,0.0,0.0,0.0,4.0,6.0,10.0,,,,,,,,,,5.0,0.0,5.0,,,
117922.0,1,1179.0,3.0,Fategharh,Punjab,30.700000000000003,76.4,15.76252,0.0,8.0,9.5,8.0,0.0,9.5,1.0,0.0,0.0,0.0,18,0.0,0.0,,,,0.0,0.0,0.0,4.0,3.0,7.0,,,,12.0,0.0,12.0,15.0,0.0,15.0,,,,,,
117924.0,1,1179.0,3.0,Fategharh,Punjab,30.700000000000003,76.4,18.06923,4.0,4.0,8.0,4.0,4.0,8.0,1.0,0.0,0.0,0.0,19,0.0,0.0,,,,0.0,0.0,0.0,3.0,5.0,8.0,5.0,5.0,10.0,5.0,3.0,8.0,,,,,,,,,
117930.0,1,1179.0,3.0,Fategharh,Punjab,30.700000000000003,76.4,22.176792,0.0,10.0,10.0,10.0,0.0,20.0,1.0,0.0,0.0,0.0,34,0.0,0.0,10.0,0.0,10.0,5.0,0.0,5.0,,,,10.0,10.0,20.0,,,,,,,20.0,0.0,20.0,,,
125901.0,1,1259.0,3.0,Fategharh,Punjab,30.700000000000003,76.4,22.96593,5.0,2.0,5.0,2.0,5.0,5.0,1.0,0.0,0.0,0.0,34,0.0,0.0,,,,,,,2.0,5.0,7.0,,,,,,,,,,5.0,0.0,5.0,0.0,5.0,5.0
125902.0,1,1259.0,3.0,Fategharh,Punjab,30.700000000000003,76.4,23.795536,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,47,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0
125903.0,1,1259.0,3.0,Fategharh,Punjab,30.700000000000003,76.4,14.366353,5.0,10.0,14.0,10.0,5.0,14.0,1.0,0.0,0.0,0.0,12,0.0,0.0,,,,,,,8.0,6.0,14.0,10.0,5.0,15.0,10.0,0.0,10.0,,,,,,,,,
125904.0,1,1259.0,3.0,Fategharh,Punjab,30.700000000000003,76.4,20.396175,0.0,5.0,5.0,5.0,0.0,5.0,1.0,0.0,0.0,0.0,29,0.0,0.0,,,,,,,,,,10.0,10.0,20.0,,,,,,,5.0,0.0,5.0,0.0,0.0,0.0
125913.0,1,1259.0,3.0,Fategharh,Punjab,30.700000000000003,76.4,20.922266,3.0,5.0,8.0,5.0,3.0,8.0,1.0,0.0,0.0,0.0,18,0.0,0.0,,,,,,,8.0,5.0,13.0,5.0,0.0,5.0,5.0,3.0,8.0,,,,,,,,,
125914.0,2,1259.0,3.0,Fategharh,Punjab,30.700000000000003,76.4,20.51758,0.0,10.0,13.0,10.0,0.0,13.0,1.0,0.0,0.0,0.0,3,0.0,0.0,,,,,,,8.0,5.0,13.0,15.0,0.0,15.0,10.0,0.0,10.0,,,,,,,,,
125916.0,1,1259.0,3.0,Fategharh,Punjab,30.700000000000003,76.4,22.581478,5.0,0.0,5.0,0.0,5.0,5.0,1.0,0.0,0.0,0.0,6,0.0,0.0,,,,,,,6.0,8.0,14.0,,,,0.0,0.0,0.0,0.0,5.0,5.0,,,,,,
125920.0,1,1259.0,3.0,Fategharh,Punjab,30.700000000000003,76.4,20.881798,0.0,6.0,10.0,6.0,0.0,10.0,1.0,0.0,0.0,0.0,23,0.0,0.0,,,,,,,6.0,5.0,11.0,,,,,,,,,,0.0,0.0,0.0,10.0,0.0,10.0
125925.0,1,1259.0,3.0,Fategharh,Punjab,30.700000000000003,76.4,22.237495,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,22,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0
125929.0,1,1259.0,3.0,Fategharh,Punjab,30.700000000000003,76.4,23.53249,0.0,5.0,5.0,5.0,0.0,5.0,1.0,0.0,0.0,0.0,11,0.0,0.0,,,,,,,,,,5.0,5.0,10.0,,,,,,,2.0,0.0,2.0,5.0,0.0,5.0
125932.0,1,1259.0,3.0,Fategharh,Punjab,30.700000000000003,76.4,21.933983,0.0,10.0,10.0,10.0,5.0,10.0,1.0,0.0,0.0,0.0,25,0.0,0.0,10.0,0.0,10.0,,,,,,,,,,,,,10.0,0.0,10.0,20.0,10.0,30.0,5.0,5.0,10.0
126606.0,1,1266.0,3.0,Fategharh,Punjab,30.700000000000003,76.5,9.935041,10.0,10.0,20.0,8.0,15.0,25.0,1.0,0.0,0.0,0.0,34,0.0,0.0,10.0,10.0,20.0,,,,8.0,6.0,14.0,,,,10.0,15.0,25.0,0.0,30.0,30.0,,,,,,
126607.0,1,1266.0,3.0,Fategharh,Punjab,30.700000000000003,76.5,18.190636,3.0,4.0,7.0,4.0,3.0,7.0,1.0,0.0,0.0,0.0,24,0.0,0.0,,,,,,,4.0,3.0,7.0,5.0,5.0,10.0,0.0,0.0,0.0,,,,,,,,,
126611.0,1,1266.0,3.0,Fategharh,Punjab,30.700000000000003,76.5,23.95741,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4,0.0,0.0,,,,,,,4.0,2.0,6.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
126631.0,1,1266.0,3.0,Fategharh,Punjab,30.700000000000003,76.5,21.529295,10.0,5.0,10.0,5.0,10.0,10.0,1.0,0.0,0.0,0.0,12,0.0,0.0,,,,,,,,,,,,,,,,0.0,10.0,10.0,5.0,10.0,15.0,5.0,5.0,10.0
126633.0,1,1266.0,3.0,Fategharh,Punjab,30.700000000000003,76.5,16.389782,10.0,5.0,15.0,5.0,10.0,15.0,1.0,0.0,0.0,0.0,7,0.0,0.0,,,,,,,,,,0.0,10.0,10.0,,,,,,,5.0,10.0,15.0,10.0,15.0,25.0
128907.0,1,1289.0,34.0,Fategharh,Punjab,30.5,76.5,21.347187,0.0,20.0,20.0,20.0,0.0,20.0,0.0,1.0,0.0,0.0,9,0.0,3900.0,,,,,,,,,,,,,,,,5.0,0.0,5.0,20.0,0.0,20.0,20.0,0.0,20.0
128908.0,1,1289.0,34.0,Fategharh,Punjab,30.5,76.5,18.048996,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,36,0.0,0.0,,,,,,,5.0,0.0,5.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
128914.0,1,1289.0,34.0,Fategharh,Punjab,30.5,76.5,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,10,0.0,0.0,,,,,,,,,,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
128921.0,1,1289.0,34.0,Fategharh,Punjab,30.5,76.5,22.277966,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3,0.0,0.0,,,,,,,5.0,0.0,5.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
128926.0,1,1289.0,34.0,Fategharh,Punjab,30.5,76.5,22.783821,0.0,10.0,12.0,10.0,0.0,12.0,1.0,0.0,0.0,0.0,27,0.0,0.0,,,,,,,8.0,4.0,12.0,,,,,,,,,,10.0,0.0,10.0,15.0,0.0,15.0
128929.0,1,1289.0,34.0,Fategharh,Punjab,30.5,76.5,20.800861,0.0,12.0,12.0,12.0,0.0,12.0,1.0,0.0,0.0,0.0,23,0.0,0.0,,,,,,,,,,15.0,0.0,15.0,12.0,0.0,12.0,10.0,0.0,10.0,,,,,,
128930.0,1,1289.0,34.0,Fategharh,Punjab,30.5,76.5,18.575089,0.0,20.0,20.0,20.0,0.0,20.0,0.0,1.0,0.0,0.0,116,0.0,3900.0,,,,,,,,,,15.0,0.0,15.0,,,,,,,20.0,0.0,20.0,20.0,0.0,20.0
128931.0,1,1289.0,34.0,Fategharh,Punjab,30.5,76.5,17.765717,15.0,0.0,15.0,0.0,15.0,15.0,1.0,0.0,0.0,0.0,62,0.0,0.0,,,,,,,,,,0.0,5.0,5.0,,,,,,,0.0,20.0,20.0,0.0,15.0,15.0
128932.0,1,1289.0,34.0,Fategharh,Punjab,30.5,76.5,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
128934.0,1,1289.0,34.0,Fategharh,Punjab,30.5,76.5,21.933983,5.0,0.0,5.0,0.0,5.0,5.0,1.0,0.0,0.0,0.0,5,0.0,0.0,,,,,,,,,,5.0,0.0,5.0,0.0,7.0,7.0,0.0,5.0,5.0,,,,,,
