crop_site_id,farmer_id,village_id,block_id,district_id,state_id,latitude_final,longitude_final,latitude,longitude,timestamp
1,105803.0,1058.0,1.0,Fategharh,Punjab,30.6,76.3,30.6,76.3,2016-11-28 23:25:00.000
1,105818.0,1058.0,1.0,Fategharh,Punjab,30.6,76.3,,,2017-04-05 05:47:22.496
1,105818.0,1058.0,1.0,Fategharh,Punjab,30.6,76.3,,,2017-04-05 05:47:22.496
1,105818.0,1058.0,1.0,Fategharh,Punjab,30.6,76.3,,,2017-04-05 05:47:22.496
1,105818.0,1058.0,1.0,Fategharh,Punjab,30.6,76.3,30.6,76.3,2017-01-16 01:55:46.000
1,105818.0,1058.0,1.0,Fategharh,Punjab,30.6,76.3,30.6,76.3,2017-02-18 00:55:25.000
1,105818.0,1058.0,1.0,Fategharh,Punjab,30.6,76.3,,,2017-04-05 05:47:22.496
1,105820.0,1058.0,1.0,Fategharh,Punjab,30.6,76.3,30.6,76.3,2016-12-12 02:45:59.999
1,105820.0,1058.0,1.0,Fategharh,Punjab,30.6,76.3,30.6,76.3,2016-12-30 01:36:00.000
1,105820.0,1058.0,1.0,Fategharh,Punjab,30.6,76.3,30.6,76.3,2017-02-03 01:41:34.000
1,105820.0,1058.0,1.0,Fategharh,Punjab,30.6,76.3,30.6,76.3,2017-01-20 23:16:37.000
1,105820.0,1058.0,1.0,Fategharh,Punjab,30.6,76.3,30.6,76.3,2016-12-14 00:01:00.000
1,105820.0,1058.0,1.0,Fategharh,Punjab,30.6,76.3,30.6,76.3,2016-12-06 23:41:00.000
1,105820.0,1058.0,1.0,Fategharh,Punjab,30.6,76.3,30.6,76.3,2016-12-15 23:10:59.999
1,105820.0,1058.0,1.0,Fategharh,Punjab,30.6,76.3,30.6,76.3,2017-01-06 00:24:36.000
1,105820.0,1058.0,1.0,Fategharh,Punjab,30.6,76.3,30.6,76.3,2017-02-08 02:34:25.999
1,105820.0,1058.0,1.0,Fategharh,Punjab,30.6,76.3,30.6,76.3,2016-12-22 22:47:00.000
1,105820.0,1058.0,1.0,Fategharh,Punjab,30.6,76.3,30.6,76.3,2016-12-06 23:45:59.999
